roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
1,1000,medial_wall,,,,,,,,medial_wall,,7.0,,,,,,,,,,,,,,,,,
2,1001,7Networks_LH_Vis_1,120.0,17.0,128.0,0.0,-33.0,-42.0,-21.0,Vis,LH,6.0,-0.1564907282590866,0.1346319546831436,,,-0.6791961,,-0.8673856,,0.21802899,,-0.53221786,,-1.5184153,0.6529818850260444,,,-0.6801035
3,1002,7Networks_LH_Vis_2,120.0,17.0,129.0,0.0,-30.0,-33.0,-18.0,Vis,LH,6.0,-0.3541007936000824,0.1346319546831436,,,0.0140858665,,-0.25077415,,0.43676493,,-0.18836206,,-1.3409604,1.661735134300653,,,-0.4624554
4,1003,7Networks_LH_Vis_3,120.0,17.0,130.0,0.0,-36.0,-62.0,-17.0,Vis,LH,6.0,0.027878157794475555,0.1346319546831436,,,0.12586132,,-1.1029098,,0.34449658,,-0.88272554,,-1.952338,0.0006848240338470664,,,-0.8224137
5,1004,7Networks_LH_Vis_4,120.0,17.0,131.0,0.0,-24.0,-55.0,-8.0,Vis,LH,6.0,-0.1698518544435501,0.1346319546831436,,,0.5027902,,-0.46043134,,0.61402303,,-0.5788491,,-1.7383027,0.5247364376359529,,,-0.47425464
6,1005,7Networks_LH_Vis_5,120.0,17.0,132.0,0.0,-23.0,-73.0,-10.0,Vis,LH,6.0,0.041214827448129654,0.1346319546831436,,,-0.019235414,,-1.2730606,,0.07972357,,-0.72589964,,-2.105086,0.02955536545358907,,,-0.6022659
7,1006,7Networks_LH_Vis_6,120.0,17.0,133.0,0.0,-36.0,-81.0,-16.0,Vis,LH,6.0,0.17731039226055145,0.1346319546831436,,,-0.19839472,,-1.3407035,,-0.024618877,,-1.1846887,,-1.4311974,0.2701288172587963,,,-0.79562646
8,1007,7Networks_LH_Vis_7,120.0,17.0,134.0,0.0,-18.0,-37.0,-12.0,Vis,LH,6.0,-0.3898700177669525,0.1346319546831436,,,0.31722724,,0.88049924,,0.16904408,,-0.058925275,,-0.9316069,0.2344426666764683,,,-0.15336066
9,1008,7Networks_LH_Vis_8,120.0,18.0,127.0,0.0,-45.0,-70.0,-8.0,Vis,LH,6.0,0.059781234711408615,0.1346319546831436,,,-0.34466985,,-1.5468942,,0.51782817,,-0.47695532,,-1.7111683,1.1223929235755454,,,-0.8557983
10,1009,7Networks_LH_Vis_9,120.0,18.0,128.0,0.0,-17.0,-86.0,-15.0,Vis,LH,6.0,0.3020191490650177,0.1346319546831436,,,-0.21770383,,-1.7172922,,-0.14610076,,-1.1581433,,-2.2067735,0.08161014526484606,,,-0.685832
11,1010,7Networks_LH_Vis_10,120.0,18.0,129.0,0.0,-12.0,-62.0,-5.0,Vis,LH,6.0,-0.036240022629499435,0.1346319546831436,,,0.46208766,,-1.0023526,,-0.05889928,,-0.74017334,,-2.377172,-0.5410207660590499,,,-0.41656592
12,1011,7Networks_LH_Vis_11,120.0,18.0,130.0,0.0,-7.0,-76.0,-6.0,Vis,LH,6.0,0.1528669148683548,0.1346319546831436,,,-0.012949043,,-1.2501012,,-0.4924556,,-0.12377072,,-2.312682,-0.5786141705129093,,,-0.4717545
13,1012,7Networks_LH_Vis_12,120.0,18.0,131.0,0.0,-24.0,-97.0,-12.0,Vis,LH,6.0,0.21978139877319336,0.1346319546831436,,,0.032502986,,-1.3179107,,0.035905614,,-1.2362689,,-1.9321903,0.555306883373056,,,-0.64100915
14,1013,7Networks_LH_Vis_13,120.0,18.0,132.0,0.0,-13.0,-43.0,-5.0,Vis,LH,6.0,-0.33939579129219055,0.1346319546831436,,,-0.12524061,,0.95698684,,0.22515425,,0.12905453,,-0.92617947,0.008093568838705005,,,-0.31627417
15,1014,7Networks_LH_Vis_14,120.0,18.0,133.0,0.0,-41.0,-87.0,-3.0,Vis,LH,6.0,0.14182621240615845,0.1346319546831436,,,-0.049307883,,-1.4162241,,0.32509166,,-1.2281199,,-2.8748791,0.5346399123053179,,,-0.70283914
16,1015,7Networks_LH_Vis_15,120.0,18.0,135.0,0.0,-7.0,-98.0,-7.0,Vis,LH,6.0,0.40233394503593445,0.1346319546831436,,,-0.079405755,,-1.2175376,,0.08792886,,-1.0931386,,-0.56457996,-0.3570854109439813,,,-0.7218657
17,1016,7Networks_LH_Vis_16,120.0,18.0,136.0,0.0,-14.0,-57.0,1.0,Vis,LH,6.0,-0.12159179896116257,0.1346319546831436,,,1.3582468,,0.27078044,,0.4823532,,-0.4786749,,-0.8281663,0.12176027420024103,,,-0.54634094
18,1017,7Networks_LH_Vis_17,120.0,18.0,137.0,0.0,-46.0,-73.0,6.0,Vis,LH,6.0,0.27209123969078064,0.1346319546831436,,,-0.47364783,,-1.4382948,,0.7109138,,-0.5052443,,-1.9771482,0.5972393991240779,,,-1.0286427
19,1018,7Networks_LH_Vis_18,120.0,18.0,138.0,0.0,-5.0,-88.0,2.0,Vis,LH,6.0,0.3592813014984131,0.1346319546831436,,,0.14972189,,-1.0409232,,0.28276834,,-0.7845085,,-1.7404516,-1.1069432566895967,,,-0.71439606
20,1019,7Networks_LH_Vis_19,120.0,18.0,139.0,0.0,-24.0,-96.0,6.0,Vis,LH,6.0,0.24299004673957825,0.1346319546831436,,,0.114748195,,-1.5898253,,0.15945253,,-0.9818938,,-2.0087519,0.6882107962930638,,,-0.7370021
21,1020,7Networks_LH_Vis_20,120.0,18.0,140.0,0.0,-13.0,-49.0,4.0,Vis,LH,6.0,-0.16695456206798553,0.1346319546831436,,,0.023256665,,1.9098665,,0.7596129,,0.45429474,,-0.019388173,-0.22663191166374477,,,0.105892435
