mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.0717897,5.509787,5.0,,,,,,-0.1775276712132557,,,,,,,,,,,,,-1.8832904694992705,2.0,,,,,,,,,,,,,-1.2116058711387978,1.0,,,,,,,,,,,,,0.2776253744290955,1.0,,,,,,,,,,,,,-0.9450297396332005,1.0
1067.0,LH,SomMot,7Networks_LH_SomMot_36,,6.0407248,5.509787,5.0,,,,,,-0.9094187314076972,,,,,,,,,,,,,1.2577986361290963,4.0,,,,,,,,,,,,,1.2132453737883568,1.0,,,,,,,,,,,,,0.14697905524758087,1.0,,,,,,,,,,,,,0.18852383129524708,4.0
1196.0,LH,Default,7Networks_LH_Default_pCunPCC_7,,-8.15594,-5.9749813,1.0,,-0.09432140554516721,,,,,,,0.5472813831963216,0.0,,,,,,,,,,,,,0.9904420607353009,6.0,,,,,,,,,,,,,0.059259385964018176,5.0,,,,,,,,,,,,,-0.383850840525065,0.0,,,,,,,,,,
1188.0,LH,Default,7Networks_LH_Default_PFC_23,,-8.017415,-5.9749813,1.0,,0.767674174432949,,,,,,,-0.018040038517825506,4.0,,,,,,,,,,,,,0.471507937622818,5.0,,,,,,,,,,,,,0.6802913032619126,5.0,,,,,,,,,,,,,-0.5547842840361012,0.0,,,,,,,,,,
1129.0,LH,Cont,7Networks_LH_Cont_Par_3,,-6.4876485,-4.458974,0.0,,,-0.4905302024737567,,,,,,,,1.2062753799798172,2.0,,,,,,,,,,,,,0.5341450097517518,1.0,,,,,,,,,,,,,0.10154156957396768,1.0,,,,,,,,,,,,,-1.5988412308548992,1.0,,,,,,,,
1024.0,LH,Vis,7Networks_LH_Vis_24,,2.8569505,2.2426863,6.0,,,,,0.787760955143522,,,,,,,,,,,,-0.07064012484257483,1.0,,,,,,,,,,,,,-0.9463466745745911,1.0,,,,,,,,,,,,,1.8071940024204565,5.0,,,,,,,,,,,,,0.9835180777868567,2.0,,
1000.0,,medial_wall,medial_wall,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-5.288869,-4.458974,0.0,,,0.15517023816198527,,,,,,,,-1.1095063503086582,1.0,,,,,,,,,,,,,-1.1687900024428186,1.0,,,,,,,,,,,,,0.5770744369676761,1.0,,,,,,,,,,,,,-0.021190678746396397,1.0,,,,,,,,
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.273492,5.509787,5.0,,,,,,-1.660842042405753,,,,,,,,,,,,,2.105494468928565,4.0,,,,,,,,,,,,,-0.31031833003287046,1.0,,,,,,,,,,,,,-0.23418474903507644,1.0,,,,,,,,,,,,,-0.9593509477220423,1.0
1133.0,LH,Cont,7Networks_LH_Cont_Temp_1,,-6.3454714,-4.458974,0.0,,,-0.9918573110850267,,,,,,,,-0.5363461235701568,1.0,,,,,,,,,,,,,-0.4400022465799469,1.0,,,,,,,,,,,,,-0.6052789729575807,1.0,,,,,,,,,,,,,-0.7701084597049453,1.0,,,,,,,,
