mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.0717897,5.509787,5.0,,,,,,-0.40608147172284637,,,,,,,,,,,,,-1.6081883137732398,2.0,,,,,,,,,,,,,-1.587118420030209,1.0,,,,,,,,,,,,,0.10542120584836194,1.0,,,,,,,,,,,,,-1.0457343075028225,1.0
1067.0,LH,SomMot,7Networks_LH_SomMot_36,,6.0407248,5.509787,5.0,,,,,,-0.8288709859452995,,,,,,,,,,,,,0.5851942115956351,4.0,,,,,,,,,,,,,0.436934349667191,1.0,,,,,,,,,,,,,-0.2661492267430075,1.0,,,,,,,,,,,,,0.4596345256850295,4.0
1196.0,LH,Default,7Networks_LH_Default_pCunPCC_7,,-8.15594,-5.9749813,1.0,,-0.12616289181925716,,,,,,,0.7080451645661592,0.0,,,,,,,,,,,,,1.1430332372799856,6.0,,,,,,,,,,,,,-0.013901372652135355,5.0,,,,,,,,,,,,,-0.38100964889297323,0.0,,,,,,,,,,
1188.0,LH,Default,7Networks_LH_Default_PFC_23,,-8.017415,-5.9749813,1.0,,1.0591651396630295,,,,,,,-0.22883349997885874,0.0,,,,,,,,,,,,,0.6211218629915353,5.0,,,,,,,,,,,,,0.6747422169533038,5.0,,,,,,,,,,,,,-0.23541310923115488,0.0,,,,,,,,,,
1129.0,LH,Cont,7Networks_LH_Cont_Par_3,,-6.4876485,-4.458974,0.0,,,-0.5291640787502856,,,,,,,,1.0223684038724405,2.0,,,,,,,,,,,,,-0.07829592383578882,1.0,,,,,,,,,,,,,-0.21741193123189997,1.0,,,,,,,,,,,,,-1.5132869009838723,1.0,,,,,,,,
1024.0,LH,Vis,7Networks_LH_Vis_24,,2.8569505,2.2426863,6.0,,,,,-0.9138567624435893,,,,,,,,,,,,-0.30256846933002113,1.0,,,,,,,,,,,,,-1.3793393307356434,1.0,,,,,,,,,,,,,1.1849167075029772,5.0,,,,,,,,,,,,,0.8724185263027927,2.0,,
1000.0,,medial_wall,medial_wall,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-5.288869,-4.458974,0.0,,,0.3604371226184424,,,,,,,,-1.3203701137746124,1.0,,,,,,,,,,,,,-1.6835437166784737,1.0,,,,,,,,,,,,,0.3389406993255955,1.0,,,,,,,,,,,,,-0.01262290478943197,1.0,,,,,,,,
1036.0,LH,SomMot,7Networks_LH_SomMot_5,,5.273492,5.509787,5.0,,,,,,-1.7349793654511858,,,,,,,,,,,,,2.424889940356958,4.0,,,,,,,,,,,,,-0.8348027686327913,1.0,,,,,,,,,,,,,-1.0325581493943619,1.0,,,,,,,,,,,,,-1.073951047015521,1.0
1133.0,LH,Cont,7Networks_LH_Cont_Temp_1,,-6.3454714,-4.458974,0.0,,,-1.0991010921237316,,,,,,,,-0.6028826141160111,1.0,,,,,,,,,,,,,-0.9965621653143858,1.0,,,,,,,,,,,,,-0.8977098799217494,1.0,,,,,,,,,,,,,-0.5796040751024496,1.0,,,,,,,,
1004.0,LH,Vis,7Networks_LH_Vis_4,,2.71544,2.2426863,6.0,,,,,1.1917788195340384,,,,,,,,,,,,-1.5705674824039484,3.0,,,,,,,,,,,,,-2.0363297793517305,1.0,,,,,,,,,,,,,-1.0109934438854944,1.0,,,,,,,,,,,,,0.37246693704288436,5.0,,
1125.0,LH,Limbic,7Networks_LH_Limbic_TempPole_7,,-0.19292784,-4.259796,3.0,-0.46207080351441915,,,,,,1.6335567019246984,4.0,,,,,,,,,,,,,0.6633776413406217,1.0,,,,,,,,,,,,,0.08454346234743546,1.0,,,,,,,,,,,,,0.7147885264160923,1.0,,,,,,,,,,,,
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,4.178444,5.509787,5.0,,,,,,-0.8337340638987596,,,,,,,,,,,,,-1.7336769723887824,2.0,,,,,,,,,,,,,-1.7818518709623976,1.0,,,,,,,,,,,,,-1.6534031631506214,1.0,,,,,,,,,,,,,-1.1556175254316452,6.0
1091.0,LH,DorsAttn,7Networks_LH_DorsAttn_PrCv_2,,2.354567,1.3938731,2.0,,,,0.8258782012830348,,,,,,,,,,,0.6117054932994342,5.0,,,,,,,,,,,,,-0.23299550742325972,5.0,,,,,,,,,,,,,0.8911378399849716,5.0,,,,,,,,,,,,,-0.16118306186341,6.0,,,,
1091.0,LH,DorsAttn,7Networks_LH_DorsAttn_PrCv_2,,0.24768767,1.3938731,2.0,,,,1.0120007788162846,,,,,,,,,,,0.0587498066256621,5.0,,,,,,,,,,,,,-0.7528521740154388,5.0,,,,,,,,,,,,,1.2435830953217888,5.0,,,,,,,,,,,,,-0.5266449811896363,6.0,,,,
1091.0,LH,DorsAttn,7Networks_LH_DorsAttn_PrCv_2,,-1.6973596,1.3938731,2.0,,,,0.19126230962509652,,,,,,,,,,,-0.548336853823417,0.0,,,,,,,,,,,,,-1.1572224117229517,5.0,,,,,,,,,,,,,1.1307221793994024,5.0,,,,,,,,,,,,,-1.1229976439325668,0.0,,,,
